"Title","US Gross","Worldwide Gross","US DVD Sales","Production Budget","Release Date","MPAA Rating","Running Time min","Distributor","Source","Major Genre","Creative Type","Director","Rotten Tomatoes Rating","IMDB Rating","IMDB Votes"
"Exit Wounds","51758599","79958599","null","33000000","Mar 16 2001","R","100","Warner Bros.","Based on Book/Short Story","Action","Contemporary Fiction","Andrzej Bartkowiak","33","5.2","14528"
"The Exorcism of Emily Rose","75072454","144216468","null","18000000","Sep 09 2005","PG-13","114","Sony/Screen Gems","Based on Real Life Events","Thriller/Suspense","Dramatization","Scott Derrickson","45","6.8","32425"
"Exorcist: The Beginning","41814863","43957541","null","78000000","Aug 20 2004","R","114","Warner Bros.","Based on Book/Short Story","Horror","Historical Fiction","Renny Harlin","null","5","15901"
"The Express","9793406","9808102","6580715","37500000","Oct 04 2008","PG","129","Universal","Based on Book/Short Story","Drama","Dramatization","null","61","7.1","4749"
"eXistenZ","2840417","2840417","null","20700000","Apr 23 1999","R","null","Miramax","Original Screenplay","Thriller/Suspense","Science Fiction","David Cronenberg","71","6.8","35788"
"Extract","10823158","10849158","null","7500000","Sep 04 2009","R","null","Miramax","Original Screenplay","Comedy","Contemporary Fiction","Mike Judge","62","6.4","12371"
"Extreme Ops","4835968","12624471","null","40000000","Nov 27 2002","PG-13","null","Paramount Pictures","Original Screenplay","Action","Contemporary Fiction","Christian Duguay","6","4.1","3195"
"Eyes Wide Shut","55691208","86257553","null","65000000","Jul 16 1999","R","159","Warner Bros.","Based on Book/Short Story","Drama","Contemporary Fiction","Stanley Kubrick","78","7.2","93880"
"The Faculty","40283321","40283321","null","15000000","Dec 25 1998","R","102","Miramax","Original Screenplay","Horror","Contemporary Fiction","Robert Rodriguez","51","6.3","36139"
"Failure to Launch","88715192","128402901","41348843","50000000","Mar 10 2006","PG-13","null","Paramount Pictures","Original Screenplay","Romantic Comedy","Contemporary Fiction","Tom Dey","25","5.6","20324"
"Keeping the Faith","37036404","45336404","null","29000000","Apr 14 2000","PG-13","129","Walt Disney Pictures","Original Screenplay","Romantic Comedy","Contemporary Fiction","null","68","6.5","25485"
"Fame","22455510","77956957","4950732","18000000","Sep 25 2009","PG","null","MGM","Remake","Musical","Contemporary Fiction","null","25","4.5","4973"
"The Family Stone","60062868","91762868","23961409","18000000","Dec 16 2005","PG-13","103","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","null","52","6.3","24434"
"Lisa Picard is Famous","113433","113433","null","1000000","Aug 22 2001","PG-13","null","null","null","Comedy","null","Griffin Dunne","null","null","null"
"Fantasia 2000 (Theatrical Release)","9103630","9103630","null","80000000","Jun 16 2000","G","null","Walt Disney Pictures","Compilation","Musical","Fantasy","null","null","null","null"
"Far From Heaven","15901849","29027914","null","13500000","Nov 08 2002","PG-13","null","Focus Features","Original Screenplay","Drama","Historical Fiction","Todd Haynes","89","7.5","20239"
"Fascination","16670","83356","null","5000000","Jan 28 2005","R","null","MGM","Original Screenplay","Thriller/Suspense","null","null","null","2.5","1016"
"Father's Day","28681080","35681080","null","85000000","May 09 1997","PG-13","98","Warner Bros.","Remake","Comedy","Contemporary Fiction","Ivan Reitman","null","4.8","6654"
"Facing the Giants","10178331","10178331","20091582","100000","Sep 29 2006","PG","null","IDP/Goldwyn/Roadside","Original Screenplay","Drama","Contemporary Fiction","Alex Kendrick","9","6","4901"
"Face/Off","112276146","241200000","null","80000000","Jun 27 1997","R","138","Paramount Pictures","Original Screenplay","Action","Contemporary Fiction","John Woo","93","7.3","102001"
"Final Destination 2","46896664","89626226","null","26000000","Jan 31 2003","R","90","New Line","Original Screenplay","Horror","Fantasy","David R. Ellis","47","6.4","35737"
"Final Destination 3","54098051","112798051","18646884","25000000","Feb 10 2006","R","null","New Line","Original Screenplay","Horror","Fantasy","James Wong","45","5.9","32263"
"The Final Destination","66477700","185777700","10148305","40000000","Aug 28 2009","R","null","Warner Bros.","Original Screenplay","Horror","Fantasy","David R. Ellis","27","4.9","20319"
"FearDotCom","13208023","13208023","null","40000000","Aug 30 2002","R","null","Warner Bros.","Original Screenplay","Horror","Contemporary Fiction","William Malone","null","3.1","11438"
"Fear and Loathing in Las Vegas","10680275","13711903","null","18500000","May 22 1998","R","null","Universal","Based on Book/Short Story","Comedy","Dramatization","Terry Gilliam","47","7.6","81560"
"Feast","56131","341808","3570398","3200000","Sep 22 2006","R","null","Weinstein/Dimension","Original Screenplay","Horror","Fantasy","null","55","6.4","12023"
"The Fifth Element","63570862","263900000","null","95000000","May 09 1997","PG-13","105","Sony Pictures","Original Screenplay","Action","Science Fiction","Luc Besson","72","7.4","131252"
"Femme Fatale","6592103","6592103","null","35000000","Nov 06 2002","R","null","Warner Bros.","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Brian De Palma","48","6.3","16693"
"Bring it On","68353550","90453550","null","10000000","Aug 25 2000","PG-13","99","Universal","Original Screenplay","Comedy","Contemporary Fiction","Peyton Reed","63","5.9","30309"
"Fantastic Four","154696080","330579719","4702358","87500000","Jul 08 2005","PG-13","123","20th Century Fox","Based on Comic/Graphic Novel","Action","Super Hero","Tim Story","27","5.7","71675"
"54","16757163","16757163","null","13000000","Aug 28 1998","R","92","Miramax","Original Screenplay","Drama","Dramatization","null","13","5.6","15023"
"2 Fast 2 Furious","127120058","236220058","null","76000000","Jun 06 2003","PG-13","107","Universal","Based on Magazine Article","Action","Contemporary Fiction","John Singleton","36","5.1","44151"
"The Fast and the Furious","144512310","206512310","null","38000000","Jun 22 2001","PG-13","107","Universal","Based on Magazine Article","Action","Contemporary Fiction","Rob Cohen","53","6","67939"
"Fool's Gold","70231041","109362966","20620930","72500000","Feb 08 2008","PG-13","null","Warner Bros.","Original Screenplay","Adventure","Contemporary Fiction","Andy Tennant","null","7.6","93"
"Fahrenheit 9/11","119114517","222414517","null","6000000","Jun 23 2004","R","122","Lionsgate","Based on Real Life Events","Documentary","Factual","Michael Moore","83","7.6","74424"
"Capitalism: A Love Story","14363397","14678228","2987505","20000000","Sep 23 2009","R","null","Overture Films","Based on Real Life Events","Documentary","Factual","Michael Moore","75","7.3","11829"
"From Hell","31598308","31598308","null","35000000","Oct 19 2001","R","123","20th Century Fox","Based on Comic/Graphic Novel","Thriller/Suspense","Historical Fiction","Albert Hughes","57","6.8","53477"
"Fido","298110","419801","null","8000000","Jun 15 2007","R","93","Lionsgate","Original Screenplay","Horror","Fantasy","null","null","6.9","11683"
"Fight Club","37030102","100853753","null","65000000","Oct 15 1999","R","139","20th Century Fox","Based on Book/Short Story","Drama","Contemporary Fiction","David Fincher","81","8.8","382470"
"Final Fantasy: The Spirits Within","32131830","85131830","null","137000000","Jul 11 2001","PG-13","120","Sony Pictures","Based on Game","Adventure","Science Fiction","null","null","6.4","36227"
"Finding Forrester","51768623","80013623","null","43000000","Dec 19 2000","PG-13","137","Sony Pictures","Original Screenplay","Drama","Contemporary Fiction","Gus Van Sant","74","7.2","35966"
"Freddy Got Fingered","14249005","14249005","null","15000000","Apr 20 2001","R","null","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","null","11","4","25033"
"Firestorm","8123860","8123860","null","19000000","Jan 09 1998","R","null","20th Century Fox","Original Screenplay","Action","Contemporary Fiction","null","null","4.4","2118"
"Fish Tank","374675","374675","null","3000000","Jan 15 2010","null","null","null","null","null","null","null","null","7.5","5940"
"Felicia's Journey","824295","1970268","null","15000000","Nov 12 1999","PG-13","null","Artisan","Based on Book/Short Story","Drama","Contemporary Fiction","Atom Egoyan","88","6.9","4790"
"From Justin to Kelly","4922166","4922166","null","12000000","Jun 20 2003","PG","null","20th Century Fox","Based on TV","Musical","Contemporary Fiction","null","8","1.6","17596"
"Final Destination","53302314","112802314","null","23000000","Mar 17 2000","R","98","New Line","Original Screenplay","Horror","Fantasy","James Wong","31","6.8","52618"
"Flags of Our Fathers","33602376","61902376","45105366","53000000","Oct 20 2006","R","null","Paramount Pictures","Based on Book/Short Story","Drama","Historical Fiction","Clint Eastwood","73","7.2","42788"
"Flawless","4485485","4485485","null","27000000","Nov 24 1999","R","null","MGM","Original Screenplay","Drama","Contemporary Fiction","Joel Schumacher","43","6.7","8125"
"Flammen og Citronen","148089","1635241","null","9000000","Jul 31 2009","null","132","IFC Films","null","Thriller/Suspense","Historical Fiction","null","null","7.2","4182"
"Flicka","21000147","21893591","49974754","15000000","Oct 20 2006","PG","94","20th Century Fox","Based on Book/Short Story","Drama","Contemporary Fiction","null","54","5.7","2832"
"Flight of the Phoenix","21009180","34009180","null","75000000","Dec 17 2004","PG-13","null","20th Century Fox","Remake","Adventure","Historical Fiction","null","30","6","18568"
"United 93","31567134","76366864","17832230","18000000","Apr 28 2006","R","null","Universal","Based on Real Life Events","Drama","Dramatization","Paul Greengrass","91","7.8","46691"
"Flubber","92993801","177993801","null","80000000","Nov 26 1997","PG","93","Walt Disney Pictures","Remake","Comedy","Kids Fiction","Les Mayfield","17","4.6","18890"
"Flushed Away","64665672","177665672","71025931","149000000","Nov 03 2006","PG","85","Paramount Pictures","Original Screenplay","Comedy","Kids Fiction","Sam Fell","72","7","21334"
"Flyboys","13090630","14816379","23631077","60000000","Sep 22 2006","PG-13","139","MGM","Based on Real Life Events","Drama","Dramatization","Tony Bill","33","6.5","13934"
"Fly Me To the Moon","14543943","40098231","null","25000000","Aug 15 2008","G","89","Summit Entertainment","Original Screenplay","Adventure","Kids Fiction","null","17","4.7","1653"
"Find Me Guilty","1173673","1788077","null","13000000","Mar 17 2006","R","null","Freestyle Releasing","Based on Real Life Events","Drama","Dramatization","Sidney Lumet","60","7.1","12800"
"The Family Man","75764085","124715863","null","60000000","Dec 22 2000","PG-13","126","Universal","Original Screenplay","Comedy","Contemporary Fiction","Brett Ratner","52","6.6","34090"
"Friends with Money","13368437","15328368","7822762","6500000","Apr 07 2006","R","null","Sony Pictures Classics","Original Screenplay","Comedy","Contemporary Fiction","null","71","6.1","11087"
"Finding Nemo","339714978","867894287","null","94000000","May 30 2003","G","100","Walt Disney Pictures","Original Screenplay","Adventure","Kids Fiction","Andrew Stanton","98","8.2","165006"
"Finishing the Game","52850","52850","null","500000","Oct 05 2007","Not Rated","null","IFC First Take","Original Screenplay","Comedy","Contemporary Fiction","Justin Lin","35","null","null"
"Foodfight!","0","0","null","65000000","Dec 31 2009","PG","null","Lionsgate","Original Screenplay","Comedy","Kids Fiction","null","null","null","null"
"Formula 51","5204007","5204007","null","27000000","Oct 18 2002","R","null","Screen Media Films","Original Screenplay","Action","Contemporary Fiction","null","null","null","null"
"The Fountain","10144010","15461638","8752844","35000000","Nov 22 2006","PG-13","96","Warner Bros.","Original Screenplay","Drama","Science Fiction","Darren Aronofsky","51","7.4","72562"
"Fantastic Four: Rise of the Silver Surfer","131921738","288215319","62277740","120000000","Jun 15 2007","PG","92","20th Century Fox","Based on Comic/Graphic Novel","Action","Super Hero","Tim Story","36","null","null"
"Farce of the Penguins","0","0","1619183","5000000","Jan 30 2007","R","null","ThinkFilm","Original Screenplay","Comedy","Contemporary Fiction","null","null","4.1","3186"
"Flightplan","89706988","225706988","null","55000000","Sep 23 2005","PG-13","93","Walt Disney Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","38","6.2","45305"
"Frailty","13110448","17423030","null","11000000","Apr 12 2002","R","null","Lionsgate","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","74","7.3","27629"
"The Forbidden Kingdom","52075270","129075270","23318686","55000000","Apr 18 2008","PG-13","105","Lionsgate","Based on Book/Short Story","Action","Fantasy","Rob Minkoff","64","6.7","36548"
"Freedom Writers","36605602","43090741","20532539","21000000","Jan 05 2007","PG-13","122","Paramount Pictures","Based on Book/Short Story","Drama","Dramatization","Richard LaGravenese","69","7.5","18065"
"Next Friday","57176582","59675307","null","9500000","Jan 12 2000","R","98","New Line","Original Screenplay","Comedy","Contemporary Fiction","Steve Carr","21","5.3","10176"
"Freaky Friday","110222438","160822438","null","26000000","Aug 06 2003","PG","97","Walt Disney Pictures","Remake","Comedy","Contemporary Fiction","Mark Waters","88","6.5","29137"
"Frequency","44983704","68079671","null","31000000","Apr 28 2000","PG-13","118","New Line","Original Screenplay","Drama","Science Fiction","null","69","7.3","35968"
"Serenity","25514517","38514517","null","39000000","Sep 30 2005","PG-13","119","Universal","Based on TV","Action","Science Fiction","Joss Whedon","81","8","106648"
"The Forgotton","66711892","111311892","null","50000000","Sep 24 2004","PG-13","91","Sony Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Joseph Ruben","null","4.9","1169"
"Jason X","13121555","16951798","null","14000000","Apr 26 2002","R","null","New Line","null","Horror","Contemporary Fiction","null","21","4.4","17964"
"Friday the 13th","65002019","91700771","9566980","17000000","Feb 13 2009","R","null","Warner Bros.","null","Horror","Fantasy","null","26","5.6","26798"
"Friday After Next","33253609","33526835","null","10000000","Nov 22 2002","R","85","New Line","Original Screenplay","Comedy","Contemporary Fiction","null","25","5.3","6742"
